Filename,Instance_Number,Objective_Index,Additional infos_gap,Additional infos_computation_time,Additional infos_obj,Additional infos_solved,Metrics_Envy Freeness,Metrics_Relative Mean Deviation,Metrics_Gini Coefficient,Metrics_Jain's Fairness Index,Metrics_Energy Shortfall,Metrics_Relative Range,Metrics_Coefficient of Variation,Metrics_Hoover Index,Metrics_Utility
solution_16_obj=0_h.log,16,0,-1.0,0.004909,60.217358,0,0.1585372362490631,0.8779722051707072,0.5239172388931954,0.5293464080043713,2729.531027999999,2.9629723083017714,0.9429327144264622,0.4389861025853536,0.30108677164557557
solution_14_obj=2_h.log,14,2,-1.0,0.006598,-463.121293,0,0.1631450544950024,0.8312314538442317,0.5120743157024229,0.5453755447812294,2911.219254999997,2.7188365493319258,0.9130163754488205,0.41561572692211585,0.3170034587652737
solution_58_obj=0_h.log,58,0,-1.0,0.009398,128.364493,0,0.1535934334186554,0.7489734241126306,0.47741996107301843,0.585817898667634,5742.641869999999,2.72345995242204,0.8408419006679079,0.37448671205631534,0.3209112779674454
solution_4_obj=6_h.log,4,6,-1.0,0.000978,0.400664,0,0.13772680011105295,0.872946451772597,0.556169628362505,0.4942282457407088,1167.3781139999992,3.5337613679272835,1.0116109106504452,0.4364732258862985,0.2451581768522457
solution_57_obj=9_h.log,57,9,-1.0,0.011069,800.764921,0,0.15877368660786742,0.741955365053345,0.4658947933958496,0.5978221843680527,6408.590881,2.552942648224396,0.8202061888974004,0.3709776825266725,0.3399410223861081
solution_41_obj=7_h.log,41,7,-1.0,0.002644,0.375932,0,0.15301223460025476,0.8252765135894402,0.5124355772406717,0.5452418975356806,2638.982905999998,3.0349399998446422,0.9132624734252774,0.41263825679472016,0.297105002441601
solution_50_obj=1_h.log,50,1,-1.0,0.002205,30.211487,0,0.15189836337851728,0.8810857060703464,0.547768011344026,0.5039841090619063,2524.453567999998,3.284663160576213,0.9920632766649474,0.44054285303517327,0.2759176666610807
solution_31_obj=2_h.log,31,2,-1.0,0.000383,-320.911652,0,0.1043304047218487,1.1035837832882909,0.6578976167264828,0.3704643852928405,731.5930649999991,4.527002960172658,1.30357769432637,0.5517918916441454,0.15699570578862646
solution_41_obj=5_h.log,41,5,-1.0,0.002589,0.561191,0,0.15301223460025476,0.8252765135894402,0.5124355772406717,0.5452418975356806,2638.982905999998,3.0349399998446422,0.9132624734252774,0.41263825679472016,0.297105002441601
solution_57_obj=4_h.log,57,4,-1.0,0.011236,0.868675,0,0.15877368660786742,0.741955365053345,0.4658947933958496,0.5978221843680527,6408.590881,2.552942648224396,0.8202061888974004,0.3709776825266725,0.3399410223861081
solution_55_obj=8_h.log,55,8,-1.0,0.008634,0.242614,0,0.1513445069257601,0.7105605692291118,0.45215234990666237,0.6140196351020992,5948.726594999995,2.55492249206116,0.7928508142948306,0.3552802846145559,0.33388335964549304
solution_55_obj=4_h.log,55,4,-1.0,0.016604,0.853871,0,0.1513445069257601,0.7105605692291118,0.45215234990666237,0.6140196351020992,5948.726594999995,2.55492249206116,0.7928508142948306,0.3552802846145559,0.33388335964549304
solution_56_obj=1_h.log,56,1,-1.0,0.013936,73.411061,0,0.15749657083912766,0.7592006472800744,0.4804878020848436,0.5825078806280777,6117.731780999998,2.6665390873182693,0.8465902031269572,0.37960032364003715,0.3269652813877018
solution_57_obj=7_h.log,57,7,-1.0,0.011186,0.371059,0,0.15877368660786742,0.741955365053345,0.4658947933958496,0.5978221843680527,6408.590881,2.552942648224396,0.8202061888974004,0.3709776825266725,0.3399410223861081
solution_37_obj=7_h.log,37,7,-1.0,0.000691,0.39596,0,0.13502345720736864,1.0464571324508058,0.6166370535020569,0.4248587799661325,999.5821569999994,3.586473601194149,1.1634961441134772,0.5232285662254028,0.21677779801931713
solution_4_obj=1_h.log,4,1,-1.0,0.000974,12.160888,0,0.13772680011105295,0.872946451772597,0.556169628362505,0.4942282457407088,1167.3781139999992,3.5337613679272835,1.0116109106504452,0.4364732258862985,0.2451581768522457
solution_27_obj=1_h.log,27,1,-1.0,0.02012,81.238202,0,0.161703248875816,0.725642250070638,0.46026743748274535,0.6047035164254904,6588.8275250000015,2.4905552569168794,0.808518996814693,0.362821125035319,0.35044623542301195
solution_12_obj=7_h.log,12,7,-1.0,0.004928,0.375499,0,0.15480661212416125,0.7879774639983976,0.5053954821644353,0.553778641723843,2738.547454999999,2.926730467156499,0.8976500843812961,0.3939887319991988,0.3047763276471486
solution_22_obj=1_h.log,22,1,-1.0,0.010299,72.232861,0,0.15410983786494314,0.7409089505467127,0.4690783017448163,0.5947315566956353,5871.080551000005,2.7345990342063917,0.8254882628072431,0.37045447527335634,0.327716210062334
solution_27_obj=9_h.log,27,9,-1.0,0.0306,789.158322,0,0.161703248875816,0.725642250070638,0.46026743748274535,0.6047035164254904,6588.8275250000015,2.4905552569168794,0.808518996814693,0.362821125035319,0.35044623542301195
solution_38_obj=0_h.log,38,0,-1.0,0.000692,27.015287,0,0.1398749427324645,0.8194210687685428,0.5125843533218527,0.543181366206019,1234.758118999999,2.9286059701475176,0.9170636379126833,0.4097105343842714,0.27015298537251814
solution_43_obj=9_h.log,43,9,-1.0,0.002253,458.12935,0,0.14514841976306542,0.820509407206958,0.5161487778912021,0.5416397829602961,2715.243944,2.908114961662748,0.919916016823596,0.41025470360347904,0.2798082333049549
solution_22_obj=3_h.log,22,3,-1.0,0.010406,-21464.929215,0,0.15410983786494314,0.7409089505467127,0.4690783017448163,0.5947315566956353,5871.080551000005,2.7345990342063917,0.8254882628072431,0.37045447527335634,0.327716210062334
solution_58_obj=2_h.log,58,2,-1.0,0.009097,-835.917462,0,0.1535934334186554,0.7489734241126306,0.47741996107301843,0.585817898667634,5742.641869999999,2.72345995242204,0.8408419006679079,0.37448671205631534,0.3209112779674454
solution_17_obj=2_h.log,17,2,-1.0,0.001977,-503.202079,0,0.14174563237591453,0.9147701770773432,0.5644969915760134,0.48449893741652045,2241.285654999998,3.3447980982230257,1.0314979470542949,0.4573850885386716,0.2498452716643813
solution_17_obj=3_h.log,17,3,-1.0,0.002028,-12131.750111,0,0.14174563237591453,0.9147701770773432,0.5644969915760134,0.48449893741652045,2241.285654999998,3.3447980982230257,1.0314979470542949,0.4573850885386716,0.2498452716643813
solution_49_obj=6_h.log,49,6,-1.0,0.002433,0.399869,0,0.14474032834905107,0.8303074750454854,0.5258805134846514,0.5300116234764433,2535.8325299999988,3.1727109026975553,0.941674611703556,0.41515373752274265,0.2738580780508605
solution_16_obj=1_h.log,16,1,-1.0,0.005292,34.251009,0,0.1585372362490631,0.8779722051707072,0.5239172388931954,0.5293464080043713,2729.531027999999,2.9629723083017714,0.9429327144264622,0.4389861025853536,0.30108677164557557
solution_3_obj=1_h.log,3,1,-1.0,0.000952,9.744467,0,0.1255272634639028,0.964130275250947,0.5929212669214738,0.450810756069419,1025.0772139999992,3.5489860349890026,1.1037326166335006,0.4820651376254735,0.2095927364429024
solution_46_obj=5_h.log,46,5,-1.0,0.001732,0.574638,0,0.1552759532137008,0.8501119284962395,0.5164368624635506,0.5394110675830063,2705.213468999997,2.7769471838626267,0.9240528747979035,0.42505596424811976,0.29916449556026165
solution_54_obj=1_h.log,54,1,-1.0,0.012268,70.105741,0,0.15589774691498237,0.7771622264879339,0.4925784643522625,0.5686709512743374,5626.097609999996,2.8150107110515914,0.8709111117413496,0.3885811132439669,0.31570199227487505
solution_60_obj=2_h.log,60,2,-1.0,0.011613,-791.23721,0,0.153704083311082,0.7234094798208065,0.45946916516460956,0.6058271571393811,5916.616810999996,2.730426256747779,0.8066199908234315,0.36170473991040325,0.33368903666882266
solution_22_obj=6_h.log,22,6,-1.0,0.010452,0.398397,0,0.15410983786494314,0.7409089505467127,0.4690783017448163,0.5947315566956353,5871.080551000005,2.7345990342063917,0.8254882628072431,0.37045447527335634,0.327716210062334
solution_49_obj=5_h.log,49,5,-1.0,0.002498,0.552083,0,0.14474032834905107,0.8303074750454854,0.5258805134846514,0.5300116234764433,2535.8325299999988,3.1727109026975553,0.941674611703556,0.41515373752274265,0.2738580780508605
solution_20_obj=8_h.log,20,8,-1.0,0.003991,0.233312,0,0.15955875381844806,0.83922875797234,0.5170280456393652,0.53998414042043,2812.155177999999,2.803305014133584,0.9229876714139864,0.41961437898617,0.30706450334436286
solution_14_obj=6_h.log,14,6,-1.0,0.006915,0.414539,0,0.1631450544950024,0.8312314538442317,0.5120743157024229,0.5453755447812294,2911.219254999997,2.7188365493319258,0.9130163754488205,0.41561572692211585,0.3170034587652737
solution_45_obj=4_h.log,45,4,-1.0,0.002231,0.889773,0,0.1547883082626209,0.8030974766764313,0.5144045814699966,0.5436255968244171,2637.9164139999984,2.9696352106969606,0.9162430434027591,0.4015487383382156,0.29940317848877984
solution_25_obj=2_h.log,25,2,-1.0,0.019019,-765.461131,0,0.1633596742930659,0.7084109208511203,0.4549187957270691,0.611386327882736,6323.712100999999,2.4827971477705524,0.797262205311264,0.35420546042556017,0.3581985986024012
solution_5_obj=6_h.log,5,6,-1.0,0.001212,0.416517,0,0.15999470816147723,0.8398025464561975,0.5393671840611477,0.5142067892067846,1384.5317359999992,2.9271619783967964,0.9719788553520797,0.4199012732280987,0.29366777542384725
solution_8_obj=6_h.log,8,6,-1.0,0.00099,0.413725,0,0.13403214664583302,1.0394762230978294,0.6098780252808278,0.43099499209554293,997.1250869999992,3.5657431044926606,1.1490050365514628,0.5197381115489147,0.2175710874617519
solution_18_obj=2_h.log,18,2,-1.0,0.004791,-418.226123,0,0.15986714550868347,0.7692946835839243,0.4884901307514098,0.5732107373392282,3018.198511999997,2.7791833227577367,0.8628783726393634,0.38464734179196214,0.32563157322433056
solution_52_obj=1_h.log,52,1,-1.0,0.010281,68.854204,0,0.1576020674427905,0.8259867657993379,0.5134309619870119,0.5446468960229812,5383.249144000003,2.943606078768976,0.9143587688943987,0.41299338289966897,0.30619123877099175
solution_42_obj=8_h.log,42,8,-1.0,0.002789,0.245146,0,0.15797080800380364,0.7427657621139553,0.4729790919540966,0.5909975846983232,3019.5785060000003,2.5565192082225927,0.8318980060213412,0.37138288105697764,0.3323211461935792
solution_23_obj=0_h.log,23,0,-1.0,0.01427,120.937149,0,0.15679453906186175,0.8246739495317407,0.5173019798414635,0.5405044871632158,5302.376779000005,2.939762948705873,0.9220213668427537,0.41233697476587033,0.30234284578254195
solution_10_obj=5_h.log,10,5,-1.0,0.001015,0.541071,0,0.1297901776714214,0.8434468483359386,0.5383103603815728,0.5131811619108164,1132.1496829999992,3.0369072608882215,0.9739761781442967,0.42172342416796926,0.23869552836327862
solution_23_obj=3_h.log,23,3,-1.0,0.014403,-23221.381319,0,0.15679453906186175,0.8246739495317407,0.5173019798414635,0.5405044871632158,5302.376779000005,2.939762948705873,0.9220213668427537,0.41233697476587033,0.30234284578254195
solution_43_obj=8_h.log,43,8,-1.0,0.002197,0.212478,0,0.14514841976306542,0.820509407206958,0.5161487778912021,0.5416397829602961,2715.243944,2.908114961662748,0.919916016823596,0.41025470360347904,0.2798082333049549
solution_51_obj=6_h.log,51,6,-1.0,0.012613,0.403567,0,0.15793042139733698,0.7519136526940455,0.47657712310148054,0.5870668498164632,5955.145623000002,2.6714808101278433,0.8386796318697063,0.37595682634702277,0.33055635217786716
solution_11_obj=0_h.log,11,0,-1.0,0.00169,61.810685,0,0.15315979267482976,0.7945396320330501,0.49309898524775303,0.5669688130832068,2793.6225589999985,2.754883887413206,0.8739367502268384,0.39726981601652506,0.3090535536893992
solution_38_obj=7_h.log,38,7,-1.0,0.000789,0.363486,0,0.1398749427324645,0.8194210687685428,0.5125843533218527,0.543181366206019,1234.758118999999,2.9286059701475176,0.9170636379126833,0.4097105343842714,0.27015298537251814
solution_5_obj=7_h.log,5,7,-1.0,0.001221,0.38973,0,0.15999470816147723,0.8398025464561975,0.5393671840611477,0.5142067892067846,1384.5317359999992,2.9271619783967964,0.9719788553520797,0.4199012732280987,0.29366777542384725
solution_57_obj=5_h.log,57,5,-1.0,0.011569,0.540948,0,0.15877368660786742,0.741955365053345,0.4658947933958496,0.5978221843680527,6408.590881,2.552942648224396,0.8202061888974004,0.3709776825266725,0.3399410223861081
solution_29_obj=3_h.log,29,3,-1.0,0.016609,-25486.007481,0,0.16483721079148378,0.7938816920008921,0.497931997665496,0.5628042936186242,5968.826338999999,2.7032317323507207,0.8813719871032863,0.39694084600044605,0.33021601049019006
solution_54_obj=4_h.log,54,4,-1.0,0.011924,0.889773,0,0.15589774691498237,0.7771622264879339,0.4925784643522625,0.5686709512743374,5626.097609999996,2.8150107110515914,0.8709111117413496,0.3885811132439669,0.31570199227487505
solution_60_obj=6_h.log,60,6,-1.0,0.010761,0.396579,0,0.153704083311082,0.7234094798208065,0.45946916516460956,0.6058271571393811,5916.616810999996,2.730426256747779,0.8066199908234315,0.36170473991040325,0.33368903666882266
