Filename,Instance_Number,Objective_Index,Additional infos_gap,Additional infos_computation_time,Additional infos_obj,Additional infos_solved,Metrics_Envy Freeness,Metrics_Relative Mean Deviation,Metrics_Gini Coefficient,Metrics_Jain's Fairness Index,Metrics_Energy Shortfall,Metrics_Relative Range,Metrics_Coefficient of Variation,Metrics_Hoover Index,Metrics_Utility
solution_40_obj=3_mip.log,40,3,32.307628,3605.832426,-2339.182345,0,0.19039797650356313,0.5600375690001492,0.3623137039639553,0.7068891230438858,2148.3066709999994,1.9151076204685513,0.6439324597320766,0.2800187845000746,0.5202508066249677
solution_9_obj=0_mip.log,9,0,0.13325,3604.782296,16.808334,0,0.12698412522742153,1.2678241003919561,0.7479283855098555,0.2633141837709318,885.6098159999995,5.945534956440551,1.672645965490026,0.6339120501959781,0.16808331708048257
solution_11_obj=0_mip.log,11,0,0.067631,3626.143939,51.781881,0,0.18633117796036716,1.315480975712405,0.7160783304689918,0.2999006167808557,2773.529758999997,3.8598236990764216,1.5278867619233971,0.6577404878562025,0.25890955525652987
solution_8_obj=1_mip.log,8,1,0.84413,3601.466636,31.524112,0,0.19141384191460292,0.6586059897588893,0.4182562577339687,0.6511623791037914,1905.3196469999998,2.1083969392670086,0.731925717833082,0.3293029948794447,0.4530708148208711
solution_3_obj=8_mip.log,3,8,0.483594,3608.808821,0.262701,0,0.17179178557372757,0.7465744224464747,0.48096471432806404,0.5800577419989694,1435.3052139999993,2.7905033906952057,0.8508620929828686,0.3732872112232374,0.35360986503051905
solution_16_obj=5_mip.log,16,5,0.35573,3630.916449,0.335672,0,0.07584226337907382,0.20442195995168871,0.1616178911038906,0.8928999915606333,3532.5732679999987,2.133835893223477,0.34633257595219197,0.10221097997584436,0.4669226379997161
solution_5_obj=2_mip.log,5,2,14.607382,3603.069835,-105.371021,0,0.2001798269278572,0.5230728484596083,0.32658078141516395,0.7450805240641715,2492.984536,1.6461553988755921,0.584924621644158,0.2615364242298042,0.6068269779985801
solution_36_obj=0_mip.log,36,0,0.073004,3608.582715,21.923025,0,0.16163971511967665,1.2684486035607196,0.7299325721809657,0.2920960216492127,1261.4376109999987,4.557652928580779,1.5567696476170734,0.6342243017803597,0.21923027422977717
solution_12_obj=6_mip.log,12,6,1e+100,3620.320559,0.5,0,0.0,0.0,0.0,1.0,7253.399614999997,0.0,0.0,0.0,1.0
solution_13_obj=0_mip.log,13,0,0.118042,3617.541394,40.282801,0,0.14899758853089717,1.2795366434862243,0.7360591499131461,0.27582131918037184,2165.897495999998,4.960805188167868,1.6203504425761683,0.6397683217431122,0.20141397686006068
